mol_id,E_HF,E_LNOMP2,E_LNOCCSD,E_LNOCCSDT,corr_MP2,corr_CCSD,corr_CCSDT,delta_MP2_to_CCSDT,mu,alpha,homo,lumo,gap,r2,mol_weight,atomic_numbers
21,-157.310364419604,-157.898905790229,-157.961966827547,-157.97942954593,-0.5885413706249949,-0.6516024079429883,-0.6690651263259895,-0.0805237557009945,0.0897,45.46,-0.3167,0.0843,0.401,355.0621,58.12299999999999,"[6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
22,-193.134314825807,-193.758010221738,-193.809052884815,-193.825969793366,-0.6236953959310085,-0.674738059008007,-0.6916549675590034,-0.0679595716279948,1.4259,38.58,-0.2612,0.074,0.3351,318.3721,60.0952,"[6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
23,-152.508019700852,-153.004320534867,-153.022744765128,-153.047101657672,-0.4963008340149883,-0.5147250642760071,-0.5390819568199845,-0.0427811228049961,0.0,38.52,-0.2599,-0.0214,0.2386,278.6264,50.0598,"[6, 6, 6, 6, 1, 1]"
24,-168.559908266333,-169.08580038926,-169.096492884351,-169.121776126871,-0.5258921229269902,-0.5365846180179972,-0.5618678605380012,-0.035975737611011,3.792,32.66,-0.3102,-0.0543,0.2559,260.1896,51.0479,"[6, 6, 6, 1, 7]"
25,-184.602842731209,-185.16018428368,-185.162919446931,-185.189267622183,-0.5573415524710015,-0.5600767157220048,-0.5864248909740013,-0.0290833385029998,0.0023,27.7,-0.3696,-0.0926,0.277,242.9308,52.035999999999994,"[7, 6, 6, 7]"
26,-189.555225182386,-190.110036870512,-190.12986477141,-190.152439507978,-0.5548116881259944,-0.5746395890240024,-0.5972143255919775,-0.0424026374659831,2.7824,31.14,-0.2777,-0.0735,0.2042,268.3921,54.047799999999995,"[8, 6, 6, 6, 1, 1]"
27,-205.606781420275,-206.190812877531,-206.203116986401,-206.226481880772,-0.5840314572559748,-0.5963355661259868,-0.6197004604970004,-0.0356690032410256,2.3112,26.25,-0.3166,-0.11,0.2066,251.0007,55.0359,"[8, 6, 6, 7, 1]"
28,-226.609683581058,-227.223643346747,-227.243794268056,-227.264784773564,-0.6139597656890032,-0.6341106869980138,-0.6551011925060095,-0.0411414268170062,0.002,26.12,-0.2668,-0.1113,0.1555,266.8164,58.0358,"[8, 6, 6, 8, 1, 1]"
29,-154.920701639836,-155.457305193825,-155.499455395646,-155.519520741683,-0.5366035539889822,-0.5787537558099984,-0.598819101846999,-0.0622155478580168,0.0,42.32,-0.2412,0.0684,0.3096,400.2236,54.09139999999999,"[6, 6, 6, 6, 1, 1, 1, 1, 1, 1]"
30,-154.911336871716,-155.448928810609,-155.491579822384,-155.511624901702,-0.5375919388930015,-0.5802429506680085,-0.6002880299859896,-0.0626960910929881,0.7067,40.09,-0.2592,0.0566,0.3157,333.9589,54.09139999999999,"[6, 6, 6, 6, 1, 1, 1, 1, 1, 1]"
31,-170.974982361242,-171.539055373019,-171.574241806018,-171.595017015584,-0.5640730117769976,-0.5992594447759814,-0.6200346543419926,-0.0559616425649949,3.9233,35.38,-0.3213,0.034,0.3553,314.5335,55.0795,"[6, 6, 6, 7, 1, 1, 1, 1, 1]"
32,-186.959275552862,-187.547211831726,-187.576110072795,-187.597083840713,-0.5879362788639924,-0.6168345199329792,-0.6378082878509872,-0.0498720089869948,4.4361,31.81,-0.2683,0.0173,0.2855,295.6635,56.06759999999999,"[7, 6, 6, 7, 1, 1, 1, 1]"
33,-190.722826675218,-191.297223687896,-191.327974400847,-191.34751285932,-0.5743970126780198,-0.6051477256290241,-0.6246861841020177,-0.0502891714239979,1.7211,33.1,-0.2595,0.0277,0.2872,300.0993,56.063599999999994,"[8, 6, 6, 6, 1, 1, 1, 1]"
34,-206.783581182218,-207.384875710536,-207.408177005252,-207.428467653611,-0.6012945283179931,-0.6245958230340136,-0.6448864713929936,-0.0435919430750004,4.6788,28.56,-0.3018,0.0022,0.3039,280.6659,57.0517,"[8, 6, 6, 7, 1, 1, 1]"
35,-191.965120780414,-192.56350149129,-192.60544530947,-192.624379027151,-0.5983807108760004,-0.6403245290560164,-0.6592582467370107,-0.0608775358610103,2.6741,35.83,-0.25,-0.0205,0.2295,333.3276,58.0794,"[6, 6, 6, 8, 1, 1, 1, 1, 1, 1]"
36,-207.978969490928,-208.602087619471,-208.634701207678,-208.654500734304,-0.6231181285430125,-0.6557317167500116,-0.6755312433760139,-0.0524131148330013,3.7071,32.78,-0.2516,0.0335,0.2851,279.7863,59.067499999999995,"[6, 7, 6, 8, 1, 1, 1, 1, 1]"
37,-227.795533756602,-228.432791967986,-228.460568931939,-228.480129730899,-0.637258211383994,-0.6650351753370103,-0.6845959742969967,-0.0473377629130027,3.92,29.47,-0.2814,0.0074,0.2888,293.917,60.0516,"[6, 8, 6, 8, 1, 1, 1, 1]"
38,-227.781385165546,-228.416151819205,-228.446100062222,-228.464580664264,-0.6347666536589998,-0.6647148966760028,-0.6831954987179927,-0.0484288450589929,1.7341,28.53,-0.2537,-0.0341,0.2196,303.8129,60.0516,"[8, 6, 6, 8, 1, 1, 1, 1]"
39,-157.309903558006,-157.896246107144,-157.959974542307,-157.977188650736,-0.5863425491380099,-0.65007098430101,-0.6672850927299976,-0.0809425435919877,0.0,45.71,-0.317,0.0937,0.4107,426.2996,58.12299999999999,"[6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
40,-193.129448637041,-193.751315705946,-193.802948369561,-193.819586027243,-0.6218670689050043,-0.6734997325199856,-0.6901373902019827,-0.0682703212969784,1.3402,38.61,-0.2619,0.081,0.3429,382.8628,60.0952,"[6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
41,-193.118636455319,-193.737724278333,-193.790676844452,-193.807617614896,-0.6190878230139845,-0.6720403891330022,-0.688981159576997,-0.0698933365630125,1.0363,39.34,-0.2503,0.0925,0.3428,368.9331,60.09519999999999,"[6, 6, 8, 6, 1, 1, 1, 1, 1, 1, 1, 1]"
42,-228.949336095878,-229.60850557077,-229.647864743765,-229.664199482256,-0.6591694748919963,-0.6985286478870023,-0.7148633863779992,-0.0556939114860028,0.0075,31.42,-0.2594,0.0584,0.3179,297.8398,62.0674,"[8, 6, 6, 8, 1, 1, 1, 1, 1, 1]"
43,-156.106993083414,-156.672627480174,-156.724618066326,-156.742797098981,-0.5656343967599753,-0.6176249829119911,-0.6358040155669755,-0.0701696188070002,0.1136,41.96,-0.2727,0.1012,0.3738,298.6061,56.10719999999999,"[6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1]"
44,-191.921939806745,-192.525696230155,-192.566245460275,-192.584946054911,-0.6037564234100046,-0.6443056535300116,-0.6630062481659991,-0.0592498247559944,1.812,35.01,-0.2633,0.1052,0.3685,267.2979,58.0794,"[6, 6, 6, 8, 1, 1, 1, 1, 1, 1]"
45,-172.081772800124,-172.672480154465,-172.718651657223,-172.737951385872,-0.5907073543409922,-0.6368788570989921,-0.6561785857479947,-0.0654712314070025,1.1353,39.02,-0.2304,0.0968,0.3271,270.5508,57.09529999999999,"[6, 7, 6, 6, 1, 1, 1, 1, 1, 1, 1]"
46,-191.921849275319,-192.524250049352,-192.564287514465,-192.582159786769,-0.6024007740329864,-0.6424382391460028,-0.6603105114500067,-0.0579097374170203,1.3894,34.64,-0.239,0.0775,0.3166,263.966,58.07939999999999,"[8, 6, 6, 6, 1, 1, 1, 1, 1, 1]"
47,-156.10722653795,-156.673864775394,-156.72730212686,-156.745585941718,-0.5666382374440104,-0.620075588909998,-0.6383594037679927,-0.0717211663239822,0.0,41.83,-0.2982,0.0956,0.3938,268.4432,56.10719999999999,"[6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1]"
48,-191.921401863126,-192.520412868252,-192.563939912827,-192.582024855304,-0.599011005126016,-0.6425380497010167,-0.6606229921780198,-0.0616119870520037,1.7978,34.56,-0.2424,0.0859,0.3283,236.9759,58.07939999999999,"[6, 6, 8, 6, 1, 1, 1, 1, 1, 1]"
49,-246.948324874801,-247.720385070702,-247.769963964501,-247.795323292977,-0.7720601959010196,-0.8216390896999997,-0.846998418176014,-0.0749382222749943,0.6875,45.37,-0.2392,0.0192,0.2584,452.5112,73.09430000000005,"[6, 6, 6, 7, 8, 1, 1, 1, 1, 1, 1, 1]"
50,-208.828048749804,-209.522274998487,-209.55343116895,-209.581712163767,-0.6942262486830089,-0.7253824191460012,-0.753663413963011,-0.059437165280002,1.8689,43.14,-0.2029,0.0499,0.2528,303.9808,67.0905,"[7, 6, 6, 6, 6, 1, 1, 1, 1, 1]"
51,-224.8346607024,-225.5537961203,-225.578668638286,-225.608060386379,-0.71913541790002,-0.7440079358860032,-0.7733996839790223,-0.0542642660790022,3.6193,39.13,-0.2253,0.0332,0.2585,283.6817,68.07860000000002,"[7, 6, 6, 7, 6, 1, 1, 1, 1]"
52,-228.64298470782,-229.348712463517,-229.377387120596,-229.405448726032,-0.7057277556969836,-0.7344024127760065,-0.7624640182120004,-0.0567362625150167,0.5571,39.2,-0.2246,0.0199,0.2445,289.005,68.07460000000002,"[8, 6, 6, 6, 6, 1, 1, 1, 1]"
53,-244.651220474913,-245.382442346835,-245.404645479334,-245.433964486761,-0.7312218719220027,-0.7534250044209898,-0.7827440118479956,-0.0515221399259928,1.5081,35.17,-0.2509,0.001,0.2519,269.2444,69.06270000000002,"[8, 6, 6, 7, 6, 1, 1, 1]"
54,-196.347667113335,-197.083060904207,-197.157926785653,-197.180447502522,-0.7353937908719956,-0.8102596723179829,-0.8327803891869792,-0.0973865983149835,0.0003,56.01,-0.3145,0.0737,0.3882,486.2719,72.14980000000004,"[6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
55,-232.174979343225,-232.944511041588,-233.007707522403,-233.029684127416,-0.7695316983629823,-0.832728179177991,-0.854704784191,-0.0851730858280177,1.384,49.04,-0.2601,0.0664,0.3265,449.0573,74.12200000000006,"[6, 6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
56,-228.606152386078,-229.302036667237,-229.33445100321,-229.361687595906,-0.6958842811589818,-0.7282986171319976,-0.7555352098279968,-0.059650928669015,2.8579,42.02,-0.2654,-0.0575,0.2079,416.7799,68.07460000000002,"[6, 6, 8, 6, 6, 1, 1, 1, 1]"
57,-244.66002606112,-245.384503953838,-245.409478705904,-245.437495056715,-0.7244778927179993,-0.7494526447840144,-0.7774689955950009,-0.0529911028770015,3.3351,37.08,-0.3007,-0.0889,0.2118,397.7757,69.06270000000002,"[6, 6, 8, 6, 7, 1, 1, 1]"
58,-240.82318426781,-241.559200141798,-241.581955855689,-241.61092599388,-0.7360158739879807,-0.7587715878789822,-0.7877417260699815,-0.0517258520820007,5.1815,38.31,-0.2739,-0.0438,0.2301,384.5574,69.06670000000003,"[7, 6, 7, 6, 7, 1, 1, 1]"
59,-244.623409926531,-245.344308087204,-245.367374090398,-245.394896424691,-0.7208981606730163,-0.7439641638669912,-0.7714864981600158,-0.0505883374869995,3.7167,38.29,-0.2629,-0.0277,0.2352,390.4619,69.06270000000002,"[7, 6, 8, 6, 6, 1, 1, 1]"
60,-265.66200465858,-266.416962211109,-266.449662236337,-266.475298193187,-0.7549575525290493,-0.7876575777570451,-0.8132935346069985,-0.0583359820779492,0.9461,36.51,-0.2538,-0.0964,0.1574,399.222,72.06260000000002,"[6, 6, 8, 6, 8, 1, 1, 1, 1]"
61,-261.831020137159,-262.598733217678,-262.628225952311,-262.655223581092,-0.7677130805190018,-0.79720581515204,-0.8242034439330155,-0.0564903634140137,2.7707,38.09,-0.2561,-0.064,0.192,384.4827,72.06660000000002,"[7, 6, 7, 6, 8, 1, 1, 1, 1]"
62,-281.670438351236,-282.453247685304,-282.475893507185,-282.502180890206,-0.7828093340680198,-0.8054551559490051,-0.8317425389699906,-0.0489332049019708,5.1668,33.39,-0.2533,-0.0763,0.177,381.9882,73.05070000000002,"[7, 6, 8, 6, 8, 1, 1, 1]"
63,-193.948977181911,-194.630937925093,-194.685884139865,-194.710790616769,-0.6819607431820032,-0.7369069579540053,-0.7618134348579986,-0.0798526916759954,0.6578,51.2,-0.2589,0.0571,0.316,481.9854,68.11820000000002,"[6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1]"
64,-210.012917700847,-210.720569747087,-210.768315626885,-210.79383824778,-0.707652046240014,-0.7553979260380004,-0.7809205469330038,-0.0732685006929898,3.9512,46.23,-0.318,0.0365,0.3545,460.694,69.10630000000003,"[6, 6, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1]"
65,-226.003236254001,-226.735024935187,-226.77620130992,-226.802122815042,-0.7317886811860035,-0.772965055919002,-0.7988865610410016,-0.0670978798549981,2.7429,42.87,-0.2704,0.0278,0.2983,440.0738,70.09440000000004,"[6, 6, 7, 6, 7, 1, 1, 1, 1, 1, 1]"
66,-229.768301832326,-230.486770262571,-230.529782301572,-230.554317849605,-0.718468430245025,-0.7614804692460098,-0.7860160172790245,-0.0675475870339994,1.3582,44.03,-0.2665,0.0336,0.3001,444.6452,70.09040000000003,"[6, 6, 8, 6, 6, 1, 1, 1, 1, 1, 1]"
67,-245.829487494407,-246.574309258965,-246.610013453725,-246.635239725287,-0.7448217645579973,-0.7805259593179983,-0.8057522308799889,-0.0609304663219916,3.269,39.28,-0.3051,0.0115,0.3166,424.3395,71.07850000000003,"[6, 6, 8, 6, 7, 1, 1, 1, 1, 1]"
68,-231.002946465464,-231.745525568094,-231.799885403618,-231.823649782707,-0.7425791026300033,-0.7969389381539997,-0.8207033172430158,-0.0781242146130125,2.6921,46.58,-0.2469,-0.0188,0.2281,482.0475,72.10620000000004,"[6, 6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
69,-266.825132016404,-267.602420723294,-267.645219801384,-267.668324560549,-0.7772887068900332,-0.8200877849799895,-0.8431925441450403,-0.0659038372550071,2.8354,39.16,-0.255,-0.0279,0.2271,432.1489,74.07840000000003,"[6, 6, 8, 6, 8, 1, 1, 1, 1, 1, 1]"
70,-247.009378823222,-247.776186356006,-247.821663483098,-247.846555740344,-0.7668075327840143,-0.8122846598760134,-0.837176917122008,-0.0703693843379937,3.7163,44.42,-0.2424,0.0327,0.2751,441.85,73.09430000000003,"[6, 7, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1]"
71,-266.8356541056,-267.613052243194,-267.655168785174,-267.678545024404,-0.7773981375939911,-0.8195146795740129,-0.8428909188040166,-0.0654927812100254,2.9514,39.33,-0.2699,-0.0262,0.2437,440.1727,74.07840000000003,"[6, 6, 8, 6, 8, 1, 1, 1, 1, 1, 1]"
72,-231.015797309834,-231.755572327374,-231.810310766608,-231.833890867811,-0.739775017540012,-0.7945134567740126,-0.8180935579769937,-0.0783185404369817,2.6168,46.19,-0.2423,-0.0072,0.2351,489.8518,72.10620000000004,"[6, 6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
73,-247.034190003613,-247.798141954696,-247.843732364578,-247.867632515729,-0.7639519510830155,-0.809542360964997,-0.8334425121160223,-0.0694905610330067,3.499,42.54,-0.2438,0.0355,0.2793,457.447,73.09430000000005,"[6, 6, 6, 7, 8, 1, 1, 1, 1, 1, 1, 1]"
74,-247.026027859687,-247.789296281542,-247.835242860002,-247.85947195776,-0.7632684218550025,-0.8092150003150209,-0.8334440980730164,-0.0701756762180139,3.5402,43.61,-0.2418,0.0387,0.2805,458.9803,73.09430000000003,"[6, 7, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1]"
75,-263.039211605409,-263.824170810547,-263.862620860748,-263.88652397204,-0.7849592051380228,-0.8234092553390155,-0.8473123666310016,-0.0623531614929788,3.5648,39.51,-0.2436,0.0599,0.3034,428.404,74.08240000000004,"[6, 7, 6, 7, 8, 1, 1, 1, 1, 1, 1]"
76,-246.998344097415,-247.760765996211,-247.809160719917,-247.833504019852,-0.7624218987959921,-0.8108166225019886,-0.8351599224369863,-0.0727380236409942,1.1876,43.57,-0.2595,0.0352,0.2948,443.1687,73.09430000000005,"[6, 8, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1]"
77,-266.855534610155,-267.631048207991,-267.672400404242,-267.696176667927,-0.7755135978359817,-0.8168657940869934,-0.8406420577719587,-0.0651284599359769,1.7569,39.33,-0.2685,0.0174,0.2859,427.6606,74.07840000000003,"[6, 8, 6, 6, 8, 1, 1, 1, 1, 1, 1]"
78,-282.870059834918,-283.66750948153,-283.700680410073,-283.724158661013,-0.7974496466119945,-0.8306205751550237,-0.8540988260950257,-0.0566491794830312,2.329,35.5,-0.2669,0.0575,0.3244,398.5908,75.06650000000003,"[6, 8, 6, 7, 8, 1, 1, 1, 1, 1]"
79,-282.843199817246,-283.644016389977,-283.677535986328,-283.700959813412,-0.800816572731037,-0.8343361690820075,-0.8577599961660098,-0.0569434234349728,4.5676,35.87,-0.246,0.0273,0.2733,418.5967,75.06650000000003,"[7, 6, 8, 6, 8, 1, 1, 1, 1, 1]"
80,-282.855297343763,-283.662478962199,-283.69473408176,-283.719053218084,-0.8071816184359477,-0.8394367379969481,-0.8637558743209865,-0.0565742558850388,5.3004,35.19,-0.2527,0.0208,0.2735,408.0279,75.06650000000002,"[7, 1, 1, 1, 6, 6, 8, 8, 1, 1]"
81,-232.167667982882,-232.934502064013,-232.998569223557,-233.020057510239,-0.7668340811310088,-0.8309012406750185,-0.852389527357019,-0.0855554462260101,1.3149,49.26,-0.2629,0.0789,0.3418,516.4357,74.12200000000006,"[6, 6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
82,-267.994161180266,-268.797596683962,-268.849415411604,-268.870564290278,-0.8034355036959937,-0.8552542313379945,-0.8764031100120064,-0.0729676063160127,2.2854,42.01,-0.2597,0.0631,0.3228,438.3028,76.09420000000004,"[6, 6, 8, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
83,-196.34586280885,-197.077544515547,-197.153662524617,-197.175791548788,-0.7316817066970032,-0.807799715767004,-0.8299287399379978,-0.0982470332409946,0.0618,56.26,-0.3085,0.085,0.3934,565.8412,72.14980000000004,"[6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
84,-232.171909194103,-232.938385466547,-233.002533383727,-233.024090810864,-0.7664762724440095,-0.8306241896240181,-0.8521816167610154,-0.0857053443170059,1.3894,49.45,-0.2617,0.0733,0.335,521.8605,74.12200000000006,"[6, 6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
85,-232.157831430581,-232.921276522627,-232.986882901302,-233.008729835062,-0.7634450920459983,-0.8290514707209979,-0.8508984044810006,-0.0874533124350023,1.0758,49.8,-0.2476,0.086,0.3336,507.9614,74.12200000000006,"[6, 8, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
86,-195.14655591103,-195.857546122055,-195.921556404819,-195.944691923371,-0.7109902110250061,-0.7750004937890083,-0.7981360123410184,-0.0871458013160122,0.1068,52.92,-0.2633,0.0893,0.3526,439.1643,70.13400000000003,"[6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
87,-230.965461858471,-231.713456367169,-231.76626847996,-231.789859439939,-0.7479945086979853,-0.800806621488988,-0.8243975814679914,-0.076403072770006,1.8235,45.7,-0.2596,0.091,0.3505,405.521,72.10620000000004,"[6, 6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
88,-230.968881739289,-231.715107057568,-231.767493750282,-231.790122936243,-0.746225318278988,-0.7986120109929971,-0.8212411969539914,-0.0750158786750034,1.3822,45.85,-0.2494,0.0776,0.327,401.4888,72.10620000000004,"[6, 6, 8, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1]"
89,-245.802833607532,-246.547667842021,-246.585634047919,-246.611560373607,-0.7448342344890193,-0.7828004403870068,-0.8087267660750115,-0.0638925315859921,2.5732,40.19,-0.263,0.0277,0.2907,352.0378,71.07850000000002,"[7, 6, 6, 6, 8, 1, 1, 1, 1, 1]"
90,-229.813807867974,-230.534468511751,-230.578597118488,-230.603567533263,-0.7206606437769949,-0.7647892505140135,-0.7897596652890115,-0.0690990215120166,2.7119,42.77,-0.2415,-0.0194,0.2222,379.6371,70.09040000000003,"[8, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1]"
91,-245.829896005242,-246.575559320532,-246.610396575608,-246.636199363435,-0.7456633152899883,-0.7805005703660015,-0.8063033581929915,-0.0606400429030031,3.6671,39.73,-0.25,0.038,0.288,355.0934,71.07850000000003,"[8, 6, 6, 6, 7, 1, 1, 1, 1, 1]"
92,-265.658490286277,-266.419685406467,-266.449513352945,-266.475306583115,-0.7611951201899956,-0.7910230666680036,-0.8168162968379988,-0.0556211766480032,3.9339,35.4,-0.2788,0.0089,0.2878,336.0792,72.06260000000002,"[8, 6, 6, 6, 8, 1, 1, 1, 1]"
93,-245.795887522163,-246.539178158966,-246.577699662522,-246.603103568653,-0.7432906368029819,-0.7818121403589942,-0.807216046489998,-0.0639254096870161,2.5257,39.34,-0.2437,-0.0258,0.2179,359.152,71.07850000000003,"[8, 6, 6, 7, 6, 1, 1, 1, 1, 1]"
94,-265.622952488136,-266.377739084685,-266.41144922072,-266.436420167375,-0.7547865965490246,-0.788496732584008,-0.813467679239011,-0.0586810826899864,0.8477,35.94,-0.2647,-0.0352,0.2295,344.5473,72.06260000000003,"[8, 6, 6, 8, 6, 1, 1, 1, 1]"
95,-195.147758814141,-195.857963468745,-195.923944678079,-195.947024099527,-0.7102046546039844,-0.7761858639379966,-0.7992652853859852,-0.0890606307820007,0.095,52.94,-0.2896,0.0927,0.3823,455.0215,70.13400000000003,"[6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
96,-230.966358147806,-231.708840429429,-231.764805684618,-231.787680323674,-0.7424822816229835,-0.7984475368120059,-0.8213221758680049,-0.0788398942450214,1.6826,45.72,-0.241,0.0915,0.3325,407.6909,72.10620000000004,"[6, 6, 6, 6, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
